Data Properties:

Recording Name : Physical Therapy Data Recording 
Recording Date & Time : 14-Apr-09 10-06-40 AM
Recording Resolution : 1280X1024
Subject Name : Subject
Fixation Duration in ms :1500
User distance from screen in mm:  680


	TimeStamp	X_Position_Degree_Right_Eye	Y_Position_Degree_Right_Eye	Distance_From_RightEye	Validity_Right_Eye	Pupil_Diameter_RightEye	X_Position_Degree_Left_Eye	Y_Position_Degree_Left_Eye	Distance_From_LeftEye	Validity_Left_Eye	Pupil_Diameter_LeftEye	Target X	Target Y
001	654247	-04.32	02.36	642.86	0	03.121857	-03.87	02.07	642.42	0	03.120491	-16.32	13.18
002	662694	-04.34	02.04	642.84	0	03.121079	-03.82	01.94	642.30	0	03.138625	-16.32	13.18
003	670871	-04.37	01.44	642.79	0	03.134619	-03.75	01.02	642.29	0	03.153234	-16.32	13.18
004	679320	-04.26	01.70	642.75	0	03.132076	-03.90	01.34	642.39	0	03.150939	-16.32	13.18
005	687496	-04.13	01.52	642.72	0	03.133839	-03.69	02.38	642.46	0	03.141749	-16.32	13.18
006	695945	-04.52	01.47	642.74	0	03.164972	-03.69	02.18	642.48	0	03.120946	-16.32	13.18
007	704242	-04.47	01.55	642.85	0	03.162525	-03.27	02.15	642.48	0	03.106669	-16.32	13.18
008	712570	-04.37	01.68	642.91	0	03.164875	-03.25	01.94	642.50	0	03.119778	-16.32	13.18
009	720870	-04.26	01.89	642.91	0	03.155479	-03.72	01.34	642.53	0	03.159299	-16.32	13.18
010	729318	-04.16	01.78	642.90	0	03.146853	-03.77	01.34	642.54	0	03.171687	-16.32	13.18
011	737493	-04.21	01.57	642.90	0	03.148303	-03.90	01.39	642.52	0	03.175002	-16.32	13.18
012	745941	-04.16	01.52	642.87	0	03.158905	-04.01	01.36	642.48	0	03.192794	-16.32	13.18
013	754118	-04.24	01.68	642.82	0	03.161046	-03.90	01.31	642.51	0	03.168371	-16.32	13.18
014	762569	-04.21	01.73	642.77	0	03.13962	-04.08	01.57	642.54	0	03.16171	-16.32	13.18
015	770868	-04.21	01.49	642.70	0	03.163583	-04.11	01.76	642.56	0	03.162384	-16.32	13.18
016	779193	-04.19	01.02	642.62	0	03.200844	-03.77	01.18	642.63	0	03.172897	-16.32	13.18
017	787489	-04.37	00.92	642.51	0	03.17375	-03.77	00.97	642.57	0	03.198743	-16.32	13.18
018	795942	-04.16	00.76	642.65	0	03.177459	-03.33	01.00	642.48	0	03.194706	-16.32	13.18
019	804119	-03.46	00.55	642.97	0	03.190161	-02.78	00.84	642.58	0	03.183566	-16.32	13.18
020	812577	-03.25	00.31	643.05	0	03.280828	-02.73	01.15	642.62	0	03.128809	-16.32	13.18
021	820745	-03.35	01.70	643.02	0	03.309517	-03.09	01.60	642.63	0	03.166862	-16.32	13.18
022	829195	-03.06	02.17	643.10	0	03.160794	-03.19	02.99	642.78	0	03.311368	-16.31	13.18
023	837494	-02.43	01.91	643.26	0	03.165832	-03.06	03.35	642.75	0	03.329343	-16.31	13.18
024	845817	-02.38	02.72	643.36	0	03.240089	-02.85	02.83	642.69	0	03.271436	-16.31	13.18
025	854120	-02.33	03.32	643.32	0	03.264504	-02.67	02.88	642.75	0	03.242156	-16.31	13.18
026	862575	-01.91	04.13	643.18	0	03.258503	-02.31	02.20	642.68	0	03.193745	-16.31	13.18
027	870747	-01.68	04.24	643.13	0	03.34754	-02.04	01.97	642.56	0	03.175945	-16.31	13.18
028	879195	-01.57	03.25	643.19	0	03.395726	-01.76	02.25	642.57	0	03.175461	-16.31	13.18
029	887366	-01.75	01.86	643.24	0	03.272386	-01.36	02.49	642.64	0	03.172551	-16.31	13.18
030	895819	-01.62	01.44	643.23	0	03.204639	-01.44	02.44	642.78	0	03.218167	-16.31	13.18
031	904119	-00.86	01.96	643.21	0	03.178243	-01.23	02.59	642.91	0	03.252295	-16.31	13.17
032	912443	-00.45	02.41	643.19	0	03.174918	-00.97	02.78	642.79	0	03.25167	-16.31	13.18
033	920742	-00.73	01.99	643.15	0	03.201319	-01.07	02.10	642.66	0	03.258517	-16.31	13.18
034	929191	-00.68	01.96	643.12	0	03.18081	-01.18	01.86	642.63	0	03.288605	-16.31	13.18
035	937370	-00.39	02.59	643.10	0	03.184131	-01.28	01.97	642.59	0	03.292324	-16.31	13.18
036	945819	-00.42	02.75	643.10	0	03.205387	-01.34	02.28	642.57	0	03.301837	-16.31	13.18
037	953992	-00.47	02.41	643.11	0	03.212679	-01.26	03.04	642.55	0	03.289568	-16.32	13.18
038	962441	-00.55	02.49	643.11	0	03.216675	-01.07	03.14	642.53	0	03.26222	-16.32	13.18
039	970738	-00.47	02.85	643.11	0	03.235413	-00.66	02.96	642.53	0	03.253916	-16.32	13.18
040	979083	-00.34	02.72	643.11	0	03.232955	-00.66	02.75	642.51	0	03.255774	-16.32	13.18
041	987367	-00.55	02.75	643.09	0	03.192176	-01.10	02.28	642.48	0	03.300081	-16.32	13.18
042	995818	-00.65	02.83	643.08	0	03.201069	-01.07	02.41	642.45	0	03.317564	-16.32	13.18
043	003988	-00.89	02.25	643.07	0	03.250172	-00.87	02.78	642.44	0	03.303615	-16.32	13.18
044	012440	-00.89	02.79	645.62	0	03.242782	-00.65	03.16	644.68	0	03.310826	-16.26	13.13
045	020615	-00.93	02.93	649.52	0	03.231964	-00.55	02.95	645.84	0	03.319589	-16.20	13.08
046	029080	-00.93	02.93	649.15	0	03.232878	-00.52	02.89	645.92	0	03.326801	-16.20	13.09
047	037365	-90.09	90.11	-1.00	4	-01	-90.09	90.11	-1.00	4	-01	-90.30	90.38
048	045689	-90.09	90.11	-1.00	4	-01	-90.09	90.11	-1.00	4	-01	-90.30	90.38
049	053991	-90.09	90.11	-1.00	4	-01	-90.09	90.11	-1.00	4	-01	-90.30	90.38
050	062438	-00.50	00.76	642.85	0	03.272669	-00.10	01.64	646.50	0	03.298101	-16.27	13.14
051	070614	00.16	00.58	642.85	0	03.275734	00.18	01.09	646.51	0	03.307315	-16.27	13.14
