Data Properties:

Recording Name : Physical Therapy Data Recording 
Recording Date & Time : 14-Apr-09 10-05-08 AM
Recording Resolution : 1280X1024
Subject Name : Participant_2
Fixation Duration in seconds :1500
User distance from screen in mm:  680


	TimeStamp	X_Position_Degree_Right_Eye	Y_Position_Degree_Right_Eye	Distance_From_RightEye	Validity_Right_Eye	Pupil_Diameter_RightEye	X_Position_Degree_Left_Eye	Y_Position_Degree_Left_Eye	Distance_From_LeftEye	Validity_Left_Eye	Pupil_Diameter_LeftEye	Target X	Target Y
1	551041	-00.236216	05.182596	641.35	0	03.72287	-01.075974	07.644494	641.39	0	03.685418	00	00
2	559365	-00.236216	05.10449	641.34	0	03.726541	-00.997261	07.592924	641.43	0	03.687941	00	00
3	567665	-00.131232	05.130528	641.32	0	03.7402	-00.944783	07.618711	641.42	0	03.70317	00	00
4	576114	-00.183724	04.896115	641.32	0	03.753025	-01.023499	07.489747	641.37	0	03.709782	00	00
5	584289	-00.236216	04.922169	641.32	0	03.740236	-00.971022	07.412332	641.37	0	03.702756	00	00
6	592738	-00.236216	04.896115	641.32	0	03.725503	-01.049736	07.541342	641.42	0	03.710208	00	00
7	600912	-00.288707	04.844	641.32	0	03.737597	-01.180918	07.670275	641.45	0	03.712252	00	00
8	609359	-00.288707	05.07845	641.29	0	03.747753	-01.102211	07.489747	641.46	0	03.712119	00	00
9	617660	-00.262462	05.130528	641.26	0	03.748611	-00.971022	07.179925	641.46	0	03.719007	00	00
10	625984	-00.314953	05.07845	641.28	0	03.741878	-01.180918	07.386521	641.46	0	03.721951	00	00
11	634290	-00.314953	05.026365	641.30	0	03.733039	-01.154683	07.747597	641.48	0	03.722669	00	00
12	642737	-00.236216	04.974271	641.28	0	03.744402	-00.944783	07.95365	641.49	0	03.710011	00	00
13	650910	-00.104985	05.000319	641.26	0	03.76298	-00.944783	07.747597	641.48	0	03.701994	00	00
14	659359	-00.104985	05.052409	641.26	0	03.75003	-01.102211	07.463945	641.48	0	03.713764	00	00
15	667544	-00.236216	04.870059	641.26	0	03.737235	-01.390783	07.489747	641.47	0	03.720718	00	00
16	675984	-00.236216	04.896115	641.27	0	03.742775	-01.312088	07.463945	641.45	0	03.706955	00	00
17	684282	-00.157478	05.10449	641.27	0	03.739305	-01.154683	07.567135	641.44	0	03.707518	00	00
18	692605	00.052493	05.130528	641.27	0	03.73817	-01.102211	07.721826	641.43	0	03.726996	00	00
19	700905	00.052493	05.07845	641.28	0	03.734505	-01.128447	07.644494	641.40	0	03.723264	00	00
20	709354	-00.131232	05.052409	641.29	0	03.743658	-01.285855	07.592924	641.38	0	03.726693	00	00
21	717530	-00.183724	05.026365	641.28	0	03.743701	-01.312088	07.721826	641.36	0	03.718036	00	00
22	725978	-00.15755	05.080766	641.25	0	03.744916	-01.023499	07.618711	641.31	0	03.689185	00	00
23	734151	-00.262582	04.924414	641.24	0	03.757426	-01.075974	07.43814	641.30	0	03.69198	00	00
24	742598	-00.236324	04.794064	641.25	0	03.756125	-01.259622	07.618711	641.31	0	03.694335	00	00
25	750899	-00.105033	04.820138	641.25	0	03.74832	-01.207153	07.824891	641.31	0	03.698663	00	00
26	759220	-00.105033	04.924414	641.25	0	03.73296	-01.102211	07.463945	641.35	0	03.705165	00	00
27	767527	00.026258	03.461887	641.18	0	03.740433	-00.866064	06.196117	641.26	0	03.697344	00	00
28	775969	00.288972	02.021982	640.95	0	03.759475	-00.892713	04.219952	641.16	0	03.683798	00	00
29	784146	00.315242	01.155742	640.86	0	03.753465	-00.787341	02.544222	641.40	0	03.669242	00	00
30	792592	00.210066	00.630176	641.03	0	03.749488	-00.314953	01.705509	641.43	0	03.656263	00	00
31	800770	00.28884	00.630176	641.13	0	03.743963	-00.28884	01.601344	641.22	0	03.631283	00	00
32	809215	00.262582	00.60392	641.11	0	03.726434	-00.210066	01.39142	641.16	0	03.619027	00	00
33	817522	00.236324	00.630176	641.11	0	03.711525	-00.131292	01.443905	641.16	0	03.611119	00	00
34	825838	00.341355	00.656431	641.12	0	03.706564	-00.131292	01.365177	641.15	0	03.600609	00	00
35	834139	00.446383	00.682686	641.12	0	03.715945	-00.28884	01.233953	641.16	0	03.614232	00	00
36	842585	00.315097	00.367612	641.09	0	03.728703	-00.367612	01.286444	641.16	0	03.627653	00	00
37	850759	00.210066	00.393869	641.08	0	03.718265	-00.236324	01.417663	641.15	0	03.627299	00	00
38	859209	00.341355	00.682686	641.09	0	03.700495	-00.183808	01.312689	641.14	0	03.626482	00	00
39	867387	00.420127	00.656431	641.09	0	03.700642	-00.28884	01.312689	641.15	0	03.622022	00	00
40	875836	00.28884	00.787702	641.10	0	03.686449	-00.341355	01.732525	641.15	0	03.607846	00	00
41	884133	00.236324	00.813955	641.12	0	03.684594	-00.315097	01.653818	641.11	0	03.589993	00	00
42	892458	00.367612	00.787702	641.13	0	03.707598	-00.210066	01.286444	641.13	0	03.586824	00	00
43	900757	00.367612	00.262582	641.11	0	03.699567	00.078775	00.393869	641.15	0	03.601126	00	00
44	909206	00.551409	-00.47264	641.03	0	03.683617	00.183808	-00.105033	641.15	0	03.594725	00	00
45	917382	00.446588	-01.129482	640.92	0	03.692059	00.367444	-00.367444	641.28	0	03.588085	00	00
46	925831	00.446588	-01.287034	640.84	0	03.669944	00.419934	-00.65613	641.39	0	03.58851	00	00
47	934006	00.525394	-01.182001	640.82	0	03.644384	00.262462	-00.262462	641.39	0	03.558977	00	00
48	942456	00.472857	-01.155742	640.81	0	03.644154	00.236216	00	641.37	0	03.551172	00	00
49	950754	00.525394	-01.20826	640.77	0	03.630524	00.20997	-00.288707	641.34	0	03.563488	00	00
50	959080	00.57793	-01.260776	640.74	0	03.620321	00.131232	-00.393689	641.32	0	03.547282	00	00
51	967381	00.472857	-01.260776	640.72	0	03.628845	00.157478	-00.419934	641.32	0	03.535734	00	00
52	975826	00.472857	-01.20826	640.69	0	03.628245	00.262462	-00.813582	641.33	0	03.532823	00	00
53	984000	00.525394	-01.392058	640.68	0	03.619655	00.367444	-00.5774	641.35	0	03.515988	00	00
54	992449	00.446588	-01.575828	640.68	0	03.618142	00.288707	-00.288707	641.38	0	03.503189	00	00
55	000624	00.420319	-01.287034	640.67	0	03.590958	00.314953	-00.761099	641.43	0	03.49605	00	00
56	009072	00.499125	-01.129482	640.67	0	03.584388	00.341199	-00.839823	641.45	0	03.491257	00	00
57	017374	00.525394	-01.07696	640.68	0	03.58742	00.341199	-00.367444	641.45	0	03.505769	00	00
58	025698	00.446588	-01.182001	640.67	0	03.576407	00.314953	-00.603644	641.43	0	03.49677	00	00
59	033992	00.525394	-01.287034	640.69	0	03.594129	00.314953	-00.892304	641.44	0	03.486745	00	00
60	042447	00.604197	-01.392058	640.69	0	03.597835	00.236216	-00.629887	641.45	0	03.491747	00	00
61	050620	00.551662	-01.497073	640.69	0	03.58435	00.262462	-00.472424	641.46	0	03.491926	00	00
62	059071	00.472857	-01.392058	640.69	0	03.579558	00.367444	-00.393689	641.47	0	03.46871	00	00
63	067245	00.288972	-01.129482	640.68	0	03.585489	00.262462	-00.524912	641.47	0	03.46489	00	00
64	075694	00.341668	-01.024907	640.66	0	03.581586	00.367444	-00.734857	641.42	0	03.486648	00	00
65	083993	00.341668	-01.103727	640.66	0	03.567083	00.472424	-00.524912	641.33	0	03.485942	00	00
66	092317	00.131412	-01.182543	640.66	0	03.556771	00.157478	-00.314953	641.28	0	03.485241	00	00
67	100615	00.236541	-01.156272	640.67	0	03.542561	00.026246	-00.551156	641.28	0	03.487103	00	00
68	109065	00.473074	-01.103727	640.67	0	03.53583	00.131232	-00.734857	641.28	0	03.491421	00	00
69	117243	00.499125	-01.313291	640.67	0	03.539124	00.288707	-00.65613	641.29	0	03.493418	00	00
70	125691	00.420319	-01.234519	640.68	0	03.534986	00.314953	-00.5774	641.33	0	03.486029	00	00
71	133864	00.420319	-01.234519	640.68	0	03.539221	00.341199	-00.65613	641.39	0	03.48019	00	00
72	142314	00.315242	-01.339547	640.70	0	03.553337	00.367444	-00.708615	641.45	0	03.492064	00	00
73	150611	00.420319	-01.497073	640.73	0	03.563758	00.131232	-00.551156	641.43	0	03.48922	00	00
74	158933	00.630465	-01.628327	640.72	0	03.547227	00.393869	-00.840208	641.25	0	03.478492	00	00
75	167236	00.604197	-01.418313	640.74	0	03.540096	00.47264	-01.102716	641.15	0	03.495825	00	00
76	175685	00.262702	-01.628327	640.82	0	03.558951	00.341355	-01.102716	641.16	0	03.516132	00	00
77	183855	00.315242	-01.680824	640.89	0	03.550755	00.131292	-01.233953	641.13	0	03.496301	00	00
78	192308	00.472857	-01.418313	640.92	0	03.536669	00.28884	-01.18146	641.10	0	03.464963	00	00
79	200481	00.604197	-01.654576	640.91	0	03.529262	00.341355	-00.86646	641.08	0	03.455664	00	00
80	208930	00.604197	-01.864541	640.92	0	03.538707	00.341355	-00.997717	641.06	0	03.457463	00	00
81	217224	00.551662	-01.864541	640.93	0	03.551455	00.393869	-00.86646	641.05	0	03.456114	00	00
82	225554	00.630465	-01.759565	640.92	0	03.529997	00.420127	-00.761448	641.07	0	03.457411	00	00
83	233850	00.57793	-01.78581	640.92	0	03.510946	00.393869	-00.971467	641.08	0	03.465093	00	00
