fixation_number,   start_sample,   end_sample,   fix_x_pos,   fix_y_pos ,   fix_dur 
1,  1,  147, 0.31,  -0.17,  1217
2,  152,  263, -9.66,  -1.18,  925
3,  271,  385, 9.92,  -0.48,  950
4,  393,  507, -9.99,  -1.32,  950
5,  516,  625, 10.78,  -1.41,  908
6,  633,  709, -10.17,  -1.23,  633
7,  717,  867, 10.39,  -1.85,  1250
8,  876,  983, -9.79,  -0.74,  892
9,  992,  1105, 10.61,  -0.58,  942
10,  1113,  1187, -9.77,  -0.48,  617
11,  1196,  1327, 10.63,  -0.90,  1092
12,  1335,  1444, -9.31,  -0.43,  908
13,  1452,  1547, 9.61,  -0.50,  792
14,  1554,  1661, -8.92,  -0.03,  892
15,  1670,  1733, 10.79,  0.18,  525
