Pursuit Number    Onset_sample, Offset_sample, Onset_x_pos, Onset_y_pos, Offset_x_pos, Offset_y_pos  
1   ,30   ,30     ,0.21  ,0.63  ,0.21  ,0.63 
2   ,36   ,36     ,0.32  ,0.37  ,0.32  ,0.37 
3   ,38   ,38     ,0.34  ,0.68  ,0.34  ,0.68 
4   ,43   ,45     ,0.37  ,0.26  ,0.45  ,-1.13 
5   ,55   ,55     ,0.42  ,-1.29  ,0.42  ,-1.29 
6   ,63   ,63     ,0.29  ,-1.13  ,0.29  ,-1.13 
7   ,76   ,76     ,0.26  ,-1.63  ,0.26  ,-1.63 
8   ,78   ,79     ,0.47  ,-1.42  ,0.60  ,-1.65 
9   ,95   ,95     ,0.60  ,-1.50  ,0.60  ,-1.50 
10   ,103   ,103     ,0.55  ,-1.92  ,0.55  ,-1.92 
11   ,107   ,108     ,0.47  ,-2.23  ,0.53  ,-1.94 
12   ,112   ,112     ,0.55  ,-1.79  ,0.55  ,-1.79 
13   ,115   ,115     ,0.26  ,-1.87  ,0.26  ,-1.87 
14   ,123   ,123     ,0.45  ,-2.13  ,0.45  ,-2.13 
15   ,125   ,125     ,0.29  ,-1.81  ,0.29  ,-1.81 
16   ,129   ,129     ,0.21  ,-1.23  ,0.21  ,-1.23 
17   ,131   ,131     ,0.24  ,-1.68  ,0.24  ,-1.68 
18   ,133   ,133     ,0.32  ,-2.23  ,0.32  ,-2.23 
19   ,136   ,136     ,0.16  ,-2.00  ,0.16  ,-2.00 
20   ,140   ,140     ,0.21  ,-1.89  ,0.21  ,-1.89 
21   ,143   ,143     ,0.11  ,-1.89  ,0.11  ,-1.89 
22   ,153   ,154     ,-9.60  ,-1.44  ,-9.91  ,-1.37 
23   ,158   ,158     ,-9.81  ,-0.87  ,-9.81  ,-0.87 
24   ,160   ,160     ,-9.61  ,-1.21  ,-9.61  ,-1.21 
25   ,164   ,164     ,-9.68  ,-1.10  ,-9.68  ,-1.10 
26   ,166   ,166     ,-9.58  ,-1.10  ,-9.58  ,-1.10 
27   ,170   ,170     ,-9.40  ,-1.26  ,-9.40  ,-1.26 
28   ,173   ,173     ,-9.45  ,-1.47  ,-9.45  ,-1.47 
29   ,175   ,175     ,-9.53  ,-1.23  ,-9.53  ,-1.23 
30   ,182   ,182     ,-9.78  ,-1.02  ,-9.78  ,-1.02 
31   ,188   ,189     ,-9.70  ,-1.16  ,-9.68  ,-0.89 
32   ,194   ,194     ,-9.81  ,-0.81  ,-9.81  ,-0.81 
33   ,199   ,199     ,-9.58  ,-1.02  ,-9.58  ,-1.02 
34   ,203   ,203     ,-9.76  ,-1.34  ,-9.76  ,-1.34 
35   ,208   ,208     ,-9.60  ,-1.26  ,-9.60  ,-1.26 
36   ,210   ,210     ,-9.81  ,-1.00  ,-9.81  ,-1.00 
37   ,212   ,212     ,-9.78  ,-0.76  ,-9.78  ,-0.76 
38   ,214   ,214     ,-9.50  ,-1.13  ,-9.50  ,-1.13 
39   ,216   ,216     ,-9.70  ,-0.97  ,-9.70  ,-0.97 
40   ,220   ,220     ,-9.73  ,-1.44  ,-9.73  ,-1.44 
41   ,229   ,229     ,-9.63  ,-1.00  ,-9.63  ,-1.00 
42   ,231   ,232     ,-9.83  ,-1.39  ,-9.68  ,-1.65 
43   ,244   ,244     ,-9.55  ,-1.55  ,-9.55  ,-1.55 
44   ,275   ,275     ,10.03  ,-0.50  ,10.03  ,-0.50 
45   ,284   ,284     ,10.05  ,-0.24  ,10.05  ,-0.24 
46   ,291   ,291     ,10.01  ,-0.47  ,10.01  ,-0.47 
47   ,296   ,296     ,10.06  ,-0.71  ,10.06  ,-0.71 
48   ,298   ,300     ,9.96  ,-0.68  ,9.83  ,-0.81 
49   ,308   ,308     ,10.06  ,-0.76  ,10.06  ,-0.76 
50   ,318   ,318     ,9.68  ,-0.74  ,9.68  ,-0.74 
51   ,323   ,323     ,9.93  ,-0.55  ,9.93  ,-0.55 
52   ,349   ,349     ,9.50  ,-0.53  ,9.50  ,-0.53 
53   ,351   ,351     ,9.80  ,-0.47  ,9.80  ,-0.47 
54   ,361   ,361     ,9.78  ,-0.29  ,9.78  ,-0.29 
55   ,393   ,394     ,-10.89  ,-0.47  ,-10.36  ,-0.55 
56   ,398   ,398     ,-10.18  ,-0.87  ,-10.18  ,-0.87 
57   ,412   ,412     ,-9.99  ,-1.29  ,-9.99  ,-1.29 
58   ,418   ,418     ,-10.21  ,-1.42  ,-10.21  ,-1.42 
59   ,427   ,427     ,-9.91  ,-1.71  ,-9.91  ,-1.71 
60   ,438   ,438     ,-9.91  ,-1.52  ,-9.91  ,-1.52 
61   ,450   ,450     ,-9.68  ,-1.76  ,-9.68  ,-1.76 
62   ,457   ,458     ,-9.81  ,-1.73  ,-9.96  ,-1.23 
63   ,460   ,460     ,-9.88  ,-1.65  ,-9.88  ,-1.65 
64   ,465   ,465     ,-9.93  ,-1.60  ,-9.93  ,-1.60 
65   ,468   ,468     ,-9.99  ,-1.50  ,-9.99  ,-1.50 
66   ,491   ,491     ,-9.83  ,-1.26  ,-9.83  ,-1.26 
67   ,516   ,517     ,12.13  ,-0.42  ,11.90  ,-0.73 
68   ,519   ,519     ,11.44  ,-0.71  ,11.44  ,-0.71 
69   ,548   ,548     ,10.81  ,-1.15  ,10.81  ,-1.15 
70   ,554   ,554     ,11.12  ,-1.23  ,11.12  ,-1.23 
71   ,559   ,559     ,10.97  ,-1.42  ,10.97  ,-1.42 
72   ,571   ,571     ,10.54  ,-1.55  ,10.54  ,-1.55 
73   ,573   ,573     ,10.77  ,-1.42  ,10.77  ,-1.42 
74   ,580   ,581     ,10.59  ,-1.63  ,10.79  ,-1.42 
75   ,588   ,588     ,10.64  ,-1.73  ,10.64  ,-1.73 
76   ,599   ,599     ,10.69  ,-1.78  ,10.69  ,-1.78 
77   ,601   ,601     ,10.67  ,-1.34  ,10.67  ,-1.34 
78   ,603   ,603     ,10.48  ,-1.47  ,10.48  ,-1.47 
79   ,614   ,614     ,10.62  ,-1.26  ,10.62  ,-1.26 
80   ,616   ,616     ,10.41  ,-1.81  ,10.41  ,-1.81 
81   ,636   ,637     ,-10.51  ,-1.05  ,-10.62  ,-1.29 
82   ,656   ,656     ,-10.13  ,-1.42  ,-10.13  ,-1.42 
83   ,667   ,667     ,-10.24  ,-1.39  ,-10.24  ,-1.39 
84   ,669   ,669     ,-10.16  ,-1.29  ,-10.16  ,-1.29 
85   ,688   ,688     ,-9.93  ,-1.31  ,-9.93  ,-1.31 
86   ,696   ,696     ,-10.13  ,-1.10  ,-10.13  ,-1.10 
87   ,699   ,699     ,-9.93  ,-0.60  ,-9.93  ,-0.60 
88   ,701   ,701     ,-9.90  ,-1.29  ,-9.90  ,-1.29 
89   ,718   ,718     ,11.07  ,-2.10  ,11.07  ,-2.10 
90   ,724   ,724     ,10.61  ,-2.10  ,10.61  ,-2.10 
91   ,726   ,726     ,10.41  ,-2.39  ,10.41  ,-2.39 
92   ,729   ,729     ,10.38  ,-2.26  ,10.38  ,-2.26 
93   ,733   ,733     ,10.08  ,-2.12  ,10.08  ,-2.12 
94   ,739   ,739     ,10.41  ,-2.12  ,10.41  ,-2.12 
95   ,743   ,743     ,10.31  ,-2.02  ,10.31  ,-2.02 
96   ,748   ,748     ,10.31  ,-2.02  ,10.31  ,-2.02 
97   ,751   ,753     ,10.39  ,-2.13  ,10.49  ,-1.58 
98   ,757   ,757     ,10.54  ,-1.63  ,10.54  ,-1.63 
99   ,761   ,764     ,10.54  ,-1.55  ,10.46  ,-1.60 
100   ,766   ,766     ,10.62  ,-1.63  ,10.62  ,-1.63 
101   ,780   ,781     ,10.62  ,-1.68  ,10.36  ,-1.65 
102   ,785   ,786     ,10.62  ,-1.65  ,10.44  ,-1.86 
103   ,792   ,792     ,10.19  ,-2.02  ,10.19  ,-2.02 
104   ,794   ,795     ,10.37  ,-1.97  ,10.42  ,-1.65 
105   ,803   ,803     ,10.34  ,-1.76  ,10.34  ,-1.76 
106   ,813   ,813     ,10.29  ,-1.42  ,10.29  ,-1.42 
107   ,821   ,821     ,10.06  ,-2.05  ,10.06  ,-2.05 
108   ,824   ,824     ,10.32  ,-1.79  ,10.32  ,-1.79 
109   ,826   ,826     ,10.14  ,-1.97  ,10.14  ,-1.97 
110   ,828   ,828     ,10.19  ,-1.81  ,10.19  ,-1.81 
111   ,835   ,836     ,10.21  ,-1.76  ,10.42  ,-1.52 
112   ,839   ,839     ,10.32  ,-2.07  ,10.32  ,-2.07 
113   ,844   ,844     ,10.39  ,-1.63  ,10.39  ,-1.63 
114   ,846   ,847     ,10.19  ,-2.02  ,10.27  ,-1.73 
115   ,849   ,849     ,10.21  ,-1.84  ,10.21  ,-1.84 
116   ,851   ,851     ,10.52  ,-1.60  ,10.52  ,-1.60 
117   ,854   ,854     ,10.32  ,-1.84  ,10.32  ,-1.84 
118   ,865   ,865     ,10.34  ,-1.71  ,10.34  ,-1.71 
119   ,878   ,879     ,-10.47  ,-1.05  ,-10.06  ,-0.92 
120   ,885   ,885     ,-9.90  ,-1.10  ,-9.90  ,-1.10 
121   ,887   ,887     ,-9.85  ,-0.71  ,-9.85  ,-0.71 
122   ,898   ,898     ,-9.62  ,-0.76  ,-9.62  ,-0.76 
123   ,900   ,900     ,-9.68  ,-0.92  ,-9.68  ,-0.92 
124   ,904   ,904     ,-9.80  ,-0.42  ,-9.80  ,-0.42 
125   ,918   ,918     ,-9.85  ,-0.47  ,-9.85  ,-0.47 
126   ,922   ,924     ,-9.57  ,-0.95  ,-9.70  ,-0.81 
127   ,927   ,930     ,-9.75  ,-0.87  ,-9.75  ,-0.68 
128   ,958   ,958     ,-9.93  ,-0.47  ,-9.93  ,-0.47 
129   ,961   ,961     ,-9.90  ,-0.47  ,-9.90  ,-0.47 
130   ,966   ,967     ,-9.83  ,-0.79  ,-9.70  ,-0.50 
131   ,982   ,982     ,-9.57  ,-0.39  ,-9.57  ,-0.39 
132   ,992   ,992     ,11.47  ,-0.39  ,11.47  ,-0.39 
133   ,995   ,995     ,10.95  ,-0.71  ,10.95  ,-0.71 
134   ,1001   ,1001     ,10.84  ,-0.63  ,10.84  ,-0.63 
135   ,1014   ,1014     ,10.77  ,-0.79  ,10.77  ,-0.79 
136   ,1022   ,1023     ,10.77  ,-0.76  ,10.51  ,-1.02 
137   ,1025   ,1025     ,10.69  ,-0.50  ,10.69  ,-0.50 
