Onset_sample, Offset_sample, Onset_x_pos, Onset_y_pos, Offset_x_pos, Offset_y_pos, Saccade_Amplitude, Saccade_Duration  
24   ,29     ,-0.24  ,4.79  ,0.32  ,1.16  ,3.68  ,0.04  
146   ,152     ,0.11  ,-1.63  ,-9.50  ,-1.16  ,9.62  ,0.05  
262   ,271     ,-9.63  ,-1.05  ,10.84  ,-0.08  ,20.50  ,0.08  
384   ,392     ,9.83  ,-0.11  ,-10.49  ,-0.63  ,20.32  ,0.07  
507   ,515     ,-9.98  ,-0.97  ,11.87  ,-0.16  ,21.87  ,0.07  
624   ,633     ,10.66  ,-1.63  ,-10.67  ,-1.23  ,21.34  ,0.08  
709   ,717     ,-9.78  ,-0.81  ,10.71  ,-1.42  ,20.50  ,0.07  
867   ,876     ,10.52  ,-1.76  ,-10.97  ,-1.00  ,21.50  ,0.08  
983   ,991     ,-9.68  ,-0.47  ,10.69  ,-0.29  ,20.36  ,0.07  
1105   ,1113     ,10.64  ,-0.34  ,-8.88  ,-0.10  ,19.52  ,0.07  
1187   ,1196     ,-10.16  ,-0.95  ,11.24  ,-0.89  ,21.40  ,0.08  
1327   ,1334     ,10.57  ,-0.79  ,-6.43  ,-0.42  ,17.00  ,0.06  
1347   ,1351     ,-6.44  ,-0.45  ,-9.37  ,-0.32  ,2.94  ,0.03  
1471   ,1474     ,8.81  ,-0.47  ,10.31  ,-0.55  ,1.51  ,0.03  
1546   ,1554     ,10.11  ,-0.63  ,-6.72  ,-0.24  ,16.83  ,0.07  
1583   ,1587     ,-6.59  ,0.00  ,-9.53  ,0.11  ,2.94  ,0.03  
1661   ,1671     ,-9.80  ,-0.26  ,10.79  ,-0.10  ,20.59  ,0.08  
