noise number; onset time ms; duration ms
1; 1.000000; 1.000000
2; 111.000000; 1.000000
3; 151.000000; 1.000000
4; 231.000000; 1.000000
5; 325.000000; 1.000000
6; 371.000000; 1.000000
7; 538.000000; 4.000000
8; 559.000000; 1.000000
9; 896.000000; 2.000000
10; 906.000000; 2.000000
11; 1044.000000; 1.000000
12; 1717.000000; 1.000000
13; 1788.000000; 1.000000
14; 2681.000000; 1.000000
15; 2704.000000; 2.000000
16; 2717.000000; 1.000000
17; 2931.000000; 1.000000
18; 3037.000000; 1.000000
19; 3139.000000; 1.000000
20; 3257.000000; 1.000000
21; 3269.000000; 1.000000
22; 3280.000000; 1.000000
23; 3580.000000; 1.000000
24; 3694.000000; 1.000000
25; 3911.000000; 1.000000
26; 4034.000000; 1.000000
27; 4052.000000; 1.000000
28; 4323.000000; 1.000000
29; 4551.000000; 2.000000
30; 4694.000000; 2.000000
31; 4940.000000; 1.000000
32; 5112.000000; 1.000000
33; 5114.000000; 2.000000
34; 5293.000000; 1.000000
35; 5482.000000; 1.000000
36; 5519.000000; 2.000000
37; 5536.000000; 2.000000
38; 5596.000000; 1.000000
39; 5644.000000; 1.000000
40; 5746.000000; 1.000000
41; 5834.000000; 1.000000
42; 6223.000000; 1.000000
43; 6568.000000; 1.000000
44; 6592.000000; 1.000000
45; 7187.000000; 1.000000
46; 7209.000000; 2.000000
47; 7214.000000; 1.000000
48; 7233.000000; 1.000000
49; 7269.000000; 1.000000
50; 7292.000000; 1.000000
51; 7472.000000; 2.000000
52; 7696.000000; 1.000000
53; 7702.000000; 1.000000
54; 7787.000000; 1.000000
55; 8150.000000; 1.000000
56; 8279.000000; 1.000000
57; 8395.000000; 2.000000
58; 8693.000000; 4.000000
59; 8776.000000; 1.000000
60; 9296.000000; 2.000000
61; 9301.000000; 1.000000
62; 9446.000000; 1.000000
63; 9592.000000; 1.000000
64; 9704.000000; 1.000000
65; 9727.000000; 1.000000
66; 9874.000000; 1.000000
67; 9955.000000; 1.000000
68; 9957.000000; 2.000000
69; 9990.000000; 1.000000
70; 10045.000000; 1.000000
71; 10092.000000; 1.000000
72; 10120.000000; 1.000000
73; 10141.000000; 1.000000
74; 10616.000000; 1.000000
75; 10755.000000; 1.000000
76; 10776.000000; 1.000000
77; 11321.000000; 2.000000
78; 11481.000000; 1.000000
79; 11498.000000; 1.000000
80; 11542.000000; 1.000000
81; 11645.000000; 2.000000
82; 11666.000000; 2.000000
83; 11775.000000; 1.000000
84; 12175.000000; 1.000000
85; 12257.000000; 1.000000
86; 12527.000000; 1.000000
87; 12955.000000; 2.000000
88; 12965.000000; 3.000000
89; 12969.000000; 2.000000
90; 13080.000000; 2.000000
91; 13316.000000; 1.000000
92; 13318.000000; 2.000000
93; 13321.000000; 1.000000
94; 14184.000000; 1.000000
95; 14400.000000; 3.000000
96; 14420.000000; 2.000000
97; 14587.000000; 1.000000
98; 15351.000000; 1.000000
99; 15552.000000; 1.000000
100; 15813.000000; 131.000000
101; 15945.000000; 2.000000
102; 16249.000000; 1.000000
103; 16253.000000; 79.000000
104; 16335.000000; 1.000000
105; 16455.000000; 2.000000
106; 16458.000000; 2.000000
107; 16461.000000; 1.000000
108; 16463.000000; 1.000000
109; 16693.000000; 1.000000
110; 16875.000000; 1.000000
111; 17196.000000; 1.000000
112; 17198.000000; 1.000000
113; 17273.000000; 1.000000
114; 17275.000000; 2.000000
115; 17428.000000; 1.000000
116; 18034.000000; 1.000000
117; 18036.000000; 2.000000
118; 18067.000000; 5.000000
119; 18130.000000; 1.000000
120; 18146.000000; 3.000000
121; 18293.000000; 1.000000
122; 18390.000000; 2.000000
123; 18493.000000; 1.000000
124; 18895.000000; 1.000000
125; 19075.000000; 1.000000
126; 19415.000000; 1.000000
127; 19624.000000; 1.000000
128; 19626.000000; 1.000000
129; 19628.000000; 1.000000
130; 19630.000000; 1.000000
131; 19632.000000; 1.000000
132; 19900.000000; 1.000000
133; 19991.000000; 1.000000
134; 20058.000000; 1.000000
135; 20211.000000; 1.000000
136; 20242.000000; 2.000000
137; 20303.000000; 2.000000
138; 20622.000000; 1.000000
139; 20763.000000; 1.000000
140; 21199.000000; 2.000000
141; 21202.000000; 1.000000
142; 21517.000000; 1.000000
143; 21576.000000; 1.000000
144; 21738.000000; 1.000000
145; 21740.000000; 2.000000
146; 21900.000000; 1.000000
147; 22127.000000; 2.000000
148; 22194.000000; 1.000000
149; 22222.000000; 1.000000
150; 22968.000000; 2.000000
151; 23128.000000; 2.000000
152; 23266.000000; 1.000000
153; 23270.000000; 2.000000
154; 23408.000000; 1.000000
155; 24340.000000; 1.000000
156; 24370.000000; 1.000000
157; 24372.000000; 1.000000
158; 24584.000000; 2.000000
159; 24715.000000; 1.000000
160; 24717.000000; 1.000000
161; 24816.000000; 1.000000
162; 24869.000000; 2.000000
163; 24872.000000; 230.000000
164; 25106.000000; 1.000000
165; 25234.000000; 2.000000
166; 25369.000000; 1.000000
167; 25388.000000; 1.000000
168; 25392.000000; 1.000000
169; 25516.000000; 2.000000
170; 25883.000000; 1.000000
171; 26169.000000; 1.000000
172; 26285.000000; 1.000000
173; 26318.000000; 1.000000
174; 26413.000000; 1.000000
175; 27000.000000; 1.000000
176; 27536.000000; 1.000000
177; 27644.000000; 2.000000
178; 27764.000000; 1.000000
179; 28108.000000; 2.000000
180; 28259.000000; 1.000000
181; 29212.000000; 1.000000
182; 29284.000000; 1.000000
183; 29824.000000; 1.000000
184; 29987.000000; 1.000000
185; 30259.000000; 1.000000
186; 30261.000000; 1.000000
187; 30770.000000; 2.000000
188; 30911.000000; 1.000000
189; 31179.000000; 2.000000
190; 31247.000000; 1.000000
191; 31437.000000; 1.000000
192; 31962.000000; 2.000000
193; 32000.000000; 1.000000
194; 32212.000000; 1.000000
195; 33488.000000; 1.000000
196; 33654.000000; 2.000000
197; 33721.000000; 1.000000
198; 33974.000000; 1.000000
199; 33976.000000; 1.000000
200; 34155.000000; 2.000000
201; 34206.000000; 1.000000
202; 34225.000000; 1.000000
