noise number; onset time ms; duration ms
1; 83.000000; 1.000000
2; 165.000000; 1.000000
3; 187.000000; 3.000000
4; 329.000000; 4.000000
5; 339.000000; 2.000000
6; 1218.000000; 3.000000
7; 1280.000000; 4.000000
8; 1288.000000; 2.000000
9; 1302.000000; 1.000000
10; 1323.000000; 2.000000
11; 1328.000000; 3.000000
12; 1335.000000; 1.000000
13; 1347.000000; 3.000000
14; 1370.000000; 3.000000
15; 1374.000000; 3.000000
16; 1382.000000; 3.000000
17; 1386.000000; 3.000000
18; 1393.000000; 3.000000
19; 1399.000000; 2.000000
20; 1405.000000; 2.000000
21; 1424.000000; 3.000000
22; 1428.000000; 4.000000
23; 1445.000000; 2.000000
24; 1452.000000; 7.000000
25; 1462.000000; 4.000000
26; 1475.000000; 2.000000
27; 1480.000000; 2.000000
28; 1488.000000; 1.000000
29; 1492.000000; 2.000000
30; 1498.000000; 8.000000
31; 1511.000000; 2.000000
32; 1514.000000; 3.000000
33; 1523.000000; 1.000000
34; 1534.000000; 6.000000
35; 1546.000000; 2.000000
36; 1551.000000; 2.000000
37; 1558.000000; 1.000000
38; 1577.000000; 2.000000
39; 1580.000000; 4.000000
40; 1593.000000; 1.000000
41; 1598.000000; 1.000000
42; 1605.000000; 4.000000
43; 1617.000000; 1.000000
44; 1621.000000; 2.000000
45; 1628.000000; 1.000000
46; 1639.000000; 3.000000
47; 1665.000000; 4.000000
48; 1675.000000; 2.000000
49; 1686.000000; 1.000000
50; 1698.000000; 2.000000
51; 1720.000000; 2.000000
52; 1734.000000; 2.000000
53; 1737.000000; 2.000000
54; 1745.000000; 2.000000
55; 1750.000000; 1.000000
56; 1772.000000; 4.000000
57; 1801.000000; 3.000000
58; 1809.000000; 1.000000
59; 1820.000000; 1.000000
60; 1833.000000; 1.000000
61; 1866.000000; 4.000000
62; 1877.000000; 1.000000
63; 1891.000000; 1.000000
64; 1895.000000; 1.000000
65; 1903.000000; 1.000000
66; 1914.000000; 2.000000
67; 1931.000000; 1.000000
68; 1938.000000; 2.000000
69; 1949.000000; 2.000000
70; 1973.000000; 1.000000
71; 2008.000000; 4.000000
72; 2013.000000; 3.000000
73; 2017.000000; 2.000000
74; 2027.000000; 1.000000
75; 2037.000000; 2.000000
76; 2044.000000; 2.000000
77; 2067.000000; 2.000000
78; 2079.000000; 2.000000
79; 2092.000000; 1.000000
80; 2102.000000; 2.000000
81; 2114.000000; 2.000000
82; 2125.000000; 3.000000
83; 2137.000000; 2.000000
84; 2144.000000; 2.000000
85; 2157.000000; 1.000000
86; 2161.000000; 1.000000
87; 2180.000000; 1.000000
88; 2244.000000; 2.000000
89; 2256.000000; 1.000000
90; 2263.000000; 1.000000
91; 2268.000000; 1.000000
92; 2275.000000; 1.000000
93; 2279.000000; 3.000000
94; 2291.000000; 2.000000
95; 2303.000000; 1.000000
96; 2315.000000; 1.000000
97; 2350.000000; 2.000000
98; 2386.000000; 1.000000
99; 2408.000000; 2.000000
100; 2455.000000; 2.000000
101; 2480.000000; 1.000000
102; 2515.000000; 1.000000
103; 2521.000000; 2.000000
104; 2568.000000; 1.000000
105; 2585.000000; 2.000000
106; 2691.000000; 1.000000
107; 2701.000000; 2.000000
108; 2713.000000; 3.000000
109; 2725.000000; 2.000000
110; 2737.000000; 2.000000
111; 2750.000000; 2.000000
112; 2761.000000; 2.000000
113; 2773.000000; 2.000000
114; 2785.000000; 1.000000
115; 2796.000000; 1.000000
116; 2809.000000; 1.000000
117; 2903.000000; 1.000000
118; 2963.000000; 1.000000
119; 2975.000000; 1.000000
120; 2986.000000; 1.000000
121; 2998.000000; 2.000000
122; 3010.000000; 1.000000
123; 3022.000000; 3.000000
124; 3034.000000; 1.000000
125; 3047.000000; 1.000000
126; 3058.000000; 1.000000
127; 3070.000000; 2.000000
128; 3080.000000; 4.000000
129; 3092.000000; 3.000000
130; 3104.000000; 2.000000
131; 3117.000000; 2.000000
132; 3152.000000; 2.000000
133; 3164.000000; 2.000000
134; 4531.000000; 1.000000
135; 4538.000000; 1.000000
136; 4548.000000; 3.000000
137; 4554.000000; 2.000000
138; 4573.000000; 2.000000
139; 4585.000000; 2.000000
140; 4597.000000; 1.000000
141; 4608.000000; 2.000000
142; 4619.000000; 2.000000
143; 4627.000000; 1.000000
144; 4632.000000; 5.000000
145; 4643.000000; 2.000000
146; 4655.000000; 1.000000
147; 4666.000000; 4.000000
148; 4682.000000; 4.000000
149; 4713.000000; 3.000000
150; 4719.000000; 1.000000
151; 4725.000000; 2.000000
152; 4730.000000; 2.000000
153; 4738.000000; 2.000000
154; 4741.000000; 3.000000
155; 4749.000000; 2.000000
156; 4754.000000; 2.000000
157; 4761.000000; 1.000000
158; 4773.000000; 2.000000
159; 4783.000000; 3.000000
160; 4789.000000; 4.000000
161; 4797.000000; 1.000000
162; 4808.000000; 2.000000
163; 4820.000000; 1.000000
164; 4825.000000; 1.000000
165; 4831.000000; 3.000000
166; 4844.000000; 1.000000
167; 4855.000000; 3.000000
168; 4866.000000; 3.000000
169; 4872.000000; 1.000000
170; 4877.000000; 4.000000
171; 4882.000000; 4.000000
172; 4889.000000; 4.000000
173; 4894.000000; 4.000000
174; 4901.000000; 3.000000
175; 4907.000000; 1.000000
176; 4914.000000; 6.000000
177; 4925.000000; 2.000000
178; 4949.000000; 2.000000
179; 4960.000000; 3.000000
180; 4973.000000; 2.000000
181; 4978.000000; 1.000000
182; 4984.000000; 2.000000
183; 4996.000000; 2.000000
184; 5008.000000; 2.000000
185; 5020.000000; 2.000000
186; 5043.000000; 1.000000
187; 5055.000000; 2.000000
188; 5080.000000; 1.000000
189; 5084.000000; 1.000000
190; 5090.000000; 2.000000
191; 5102.000000; 2.000000
192; 5113.000000; 3.000000
193; 5126.000000; 1.000000
194; 5131.000000; 1.000000
195; 5167.000000; 1.000000
196; 5173.000000; 1.000000
197; 5185.000000; 2.000000
198; 5190.000000; 1.000000
199; 5197.000000; 2.000000
200; 5208.000000; 2.000000
